Text,Entity Type
ARGUMENTUM,PERSON
Septimio,PERSON
Seuero,PERSON
Antonino,PERSON
Romanas,NORP
Tertullianus,PERSON
Christiani,PERSON
Christianorum,NORP
Communi,LOC
Justini,PERSON
Aristidis,PERSON
ARGUMENTUM.--,PERSON
Seuero,PERSON
Romani,NORP
Romani,NORP
0261A,PERSON
0262A,NORP
Christiani,NORP
Christianos,NORP
0263A,NORP
0265A,NORP
Anacharsis,PERSON
Malunt,NORP
0269A,LOC
Christianos,NORP
0270A,LOC
Trajanus,PERSON
0270B,PERSON
0271A,PERSON
Plinius,PERSON
Secundus,PERSON
Christianis,PERSON
0273A,PERSON
Trajanum,PERSON
Christo,PERSON
Trajanus,PERSON
Latronibus,NORP
Christianum,PERSON
0274A,PERSON
Christianus,PERSON
0276A,LOC
Ciuilis,NORP
Christianum,PERSON
Christianus,PERSON
Christiani,PERSON
0279A,PERSON
Christianum,PERSON
Christianus,PERSON
Christianus,PERSON
**CAP,PERSON
Christianam,PERSON
Auctore,PERSON
Christiani,PERSON
Nominis,PERSON
Bonus,PERSON
Caius,PERSON
Seius,PERSON
Christianus,PERSON
Lucium,PERSON
Christianum,PERSON
Caius,PERSON
Lucius,PERSON
Christianus,PERSON
Christianus,PERSON
0280B,PERSON
Christiani,PERSON
Uxorem,PERSON
0281A,PERSON
Christianus,PERSON
Chrestianus,PERSON
0282A,NORP
Epicurei,NORP
Pythagorici,NORP
Stoici,PERSON
Academici,PERSON
Erasistrato,PERSON
Aristarcho,PERSON
Apicio,PERSON
0283A,PERSON
Christiani,PERSON
0285A,PERSON
Lycurgi,PERSON
Lacedaemoniis,NORP
Juliae,PERSON
0287A,PERSON
Seuerus,PERSON
0288A,LOC
Caesares,NORP
Alburni,PERSON
Aemilius,PERSON
Deorum,NORP
0290A,PERSON
Tiberii,PERSON
Christo,PERSON
Neronem,PERSON
M.,PERSON
Aurelius,PERSON
Uerus,PERSON
Uespasianus,PERSON
Trajanus,PERSON
Hadrianus,PERSON
Pius,PERSON
M.,PERSON
Aemilius,PERSON
Alburno,PERSON
0290B,LOC
Tiberius,PERSON
Syria,LOC
Palaestina,LOC
0291A,PERSON
Senatus,PERSON
Caesar,PERSON
Neronem,PERSON
Romae,LOC
Caesariano,LOC
0293A,NORP
Nerone,PERSON
Domitianus,PERSON
Neronis,PERSON
0295A,PERSON
M.,PERSON
Aurelii,PERSON
Trajanus,PERSON
Adrianus,PERSON
Uespasianus,PERSON
Pius,PERSON
Uerus,PERSON
ARGUMENTUM.--,PERSON
Romam,LOC
0298A,LOC
Deos,NORP
0300A,PERSON
0301A,LOC
Lacedaemonii,NORP
Romulo,PERSON
Mecenio,PERSON
Urbe,LOC
0304A,PERSON
Liberum,PERSON
Italia,LOC
Serapidem,PERSON
Isidem,PERSON
Harpocratem,PERSON
Cynocephalo,PERSON
Capitolio,LOC
Piso,PERSON
Gabinius,PERSON
0305B,PERSON
Christianos,NORP
Serapidi,PERSON
Baccho,PERSON
ARGUMENTUM.--,PERSON
0307A,PERSON
Christianos,NORP
Tiberio,PERSON
0308A,PERSON
Cyclopum,NORP
0309A,PERSON
Samothracia,LOC
Eleusinia,PERSON
0310A,LOC
Romae,LOC
Sortitus,PERSON
Romae,LOC
0310B,LOC
0311A,PERSON
ARGUMENTUM.--,PERSON
Christiani,PERSON
Ueni,PERSON
0312B,PERSON
Christianus,PERSON
Christianus,PERSON
ARGUMENTUM.--,PERSON
Christianis,PERSON
Christianis,NORP
Africam,LOC
Saturno,PERSON
Tiberii,PERSON
Christiani,PERSON
Saturnus,PERSON
Gallos,NORP
Mercurio,PERSON
Remitto,PERSON
Tauricas,LOC
Aeneadarum,LOC
Jupiter,PERSON
Jouem,PERSON
0318A,PERSON
0319A,LOC
Herodotum,PERSON
Catilina,PERSON
Scytharum,NORP
Bellonae,PERSON
Aper,PERSON
Huctando,PERSON
0323A,LOC
Jupiter,PERSON
Persas,LOC
Ctesias,NORP
Macedones,NORP
Oedipum,PERSON
0326A,PERSON
Alienati,PERSON
ARGUMENTUM.--,PERSON
Christianos,NORP
Deorum,NORP
Dii,PERSON
Deos,NORP
Saturni,PERSON
Deos,NORP
Christiani,PERSON
0328B,PERSON
0329A,NORP
Graecos,NORP
Romanos,NORP
Saturnum,PERSON
Saturnum,PERSON
Diodorus,PERSON
Graecus,NORP
Thallus,PERSON
Cassius,PERSON
Seuerus,PERSON
Cornelius,PERSON
Nepos,PERSON
Italiam,LOC
Saturnus,PERSON
Attica,LOC
Jano,PERSON
Jane,LOC
Salii,PERSON
Saturnius,PERSON
Saturnia,PERSON
Italia,LOC
Oenotriam,LOC
Saturnia,PERSON
Saturnus,PERSON
Saturno,PERSON
Taceo,PERSON
Saturno,PERSON
Jouem,PERSON
ARGUMENTUM.--,PERSON
Deos,NORP
0332B,PERSON
0333A,PERSON
Pythagoram,PERSON
Platonem,PERSON
Saturnum,PERSON
Saturniam,LOC
Uani,NORP
Jouem,PERSON
Liberum,PERSON
Cererem,PERSON
Mineruam,PERSON
Lucullo,PERSON
Ponto,LOC
Italiae,LOC
0335A,PERSON
Socratem,PERSON
Aristidem,PERSON
Themistoclem,PERSON
Alexandrum,PERSON
Croesum,PERSON
Demosthenem,PERSON
Catone,PERSON
Scipione,PERSON
Pompeio,PERSON
Sylla,PERSON
Crasso,PERSON
Tullio,PERSON
ARGUMENTUM.--,PERSON
0338A,PERSON
Dii,NORP
Christiani,PERSON
Leonibus,NORP
Christiani,PERSON
Seneca,PERSON
Deos,NORP
0338B,LOC
0340A,NORP
Crucibus,NORP
0341A,NORP
Libero,PERSON
Cybele,PERSON
Coelesti,PERSON
Senecam,PERSON
ARGUMENTUM.--,PERSON
0343B,PERSON
Primo,PERSON
Domesticos,NORP
Saturno,PERSON
Minerua,PERSON
Publicos,NORP
Capitolium,LOC
Jouis,PERSON
Larentinam,PERSON
Laidem,LOC
Junones,NORP
Cereres,PERSON
Dianas,PERSON
Simonem,PERSON
0348A,PERSON
ARGUMENTUM.--,PERSON
Homerum,NORP
Tragicos,NORP
Comicos,NORP
Philosophos,NORP
Socrates,PERSON
Diogene,PERSON
Uarrone,PERSON
0349A,PERSON
0350A,PERSON
Trojanos,NORP
Achiuos,NORP
Uenerem,PERSON
Aenean,PERSON
Diomede,PERSON
Martem,NORP
Jouem,LOC
Sarpedonis,PERSON
0352A,LOC
Apollinem,PERSON
Admeto,PERSON
Neptuni,PERSON
Laomedonti,PERSON
Aesculapium,PERSON
Jupiter,PERSON
Taceo,PERSON
Socrate,PERSON
Athenienses,NORP
Socratis,PERSON
Socrati,PERSON
Diogenes,PERSON
Herculem,PERSON
Romanus,NORP
Cynicus,PERSON
Uarro,PERSON
Joues,NORP
Jupiteres,PERSON
ARGUMENTUM.--,PERSON
0358A,PERSON
Lentulorum,PERSON
Hostiliorum,NORP
Cybele,PERSON
Jouis,PERSON
Junonem,PERSON
Uenerem,PERSON
Mineruam,PERSON
Mineruam,PERSON
Herculem,PERSON
Atyn,PERSON
Herculem,PERSON
Mercurium,PERSON
Jouis,PERSON
0363A,PERSON
Christianis,NORP
ARGUMENTUM.--,PERSON
Christiani,PERSON
0364A,NORP
Numine,PERSON
Cornelius,PERSON
Tacitus,PERSON
Judaeos,NORP
Aegypto,LOC
Arabiae,LOC
0364B,NORP
Cornelius,PERSON
Tacitus,PERSON
Pompeium,PERSON
Hierusalem,LOC
0365A,NORP
Epona,PERSON
0366A,NORP
Pallas,PERSON
Attica,LOC
Ceres,NORP
Uictorias,PERSON
Romanorum,NORP
Siphara,LOC
Solem,PERSON
0370A,NORP
Persas,NORP
0371A,LOC
Saturni,PERSON
ARGUMENTUM.--,PERSON
Christianos,NORP
Graeci,NORP
0376A,PERSON
Capitolium,LOC
ARGUMENTUM.--,PERSON
Ptolemaei,PERSON
0378A,NORP
Uiros,NORP
Prometheus,PERSON
0378B,LOC
Uoces,NORP
Ptolemaeorum,NORP
0379A,LOC
Pisistratum,PERSON
Demetrii,PERSON
Phalerei,PERSON
Ptolemaeo,PERSON
Menedemus,PERSON
Aristaeas,PERSON
Graecum,NORP
Ptolemaei,PERSON
Hebraicis,NORP
0381A,PERSON
ARGUMENTUM.--,PERSON
Moses,PERSON
Inacho,PERSON
Danaum,PERSON
Trojanum,LOC
Homerum,NORP
Moyses,PERSON
Danaus,PERSON
Argo,LOC
0383A,PERSON
Trojano,NORP
Saturno,PERSON
Thalli,PERSON
Assyriorum,LOC
Saturnum,PERSON
Titanorum,NORP
Joue,PERSON
Iliacum,LOC
Moysen,PERSON
Deinceps,PERSON
Cyri,LOC
Darii,PERSON
Zacharias,PERSON
Thales,NORP
Croeso,PERSON
Diuinitate,PERSON
Solon,PERSON
0383B,PERSON
0384A,PERSON
0385A,NORP
Sibyllam,PERSON
Sibyllae,PERSON
Moysen,PERSON
Argiuo,PERSON
Inacho,PERSON
Danaum,NORP
0387A,LOC
Priami,PERSON
Homerum,PERSON
Moysi,PERSON
Aegyptiorum,NORP
Chaldaeorum,NORP
Phoenicum,LOC
Manethon,PERSON
Berosus,PERSON
0387B,LOC
Tyri,LOC
Mendesius,PERSON
Ptolemaeus,PERSON
Menander,PERSON
Ephesius,PERSON
Demetrius,PERSON
Appion,PERSON
Thallus,PERSON
0388A,PERSON
Josephus,PERSON
Judaicarum,PERSON
Graecorum,NORP
ARGUMENTUM.--,PERSON
Scripturae,PERSON
0388B,LOC
0389A,LOC
0391A,PERSON
ARGUMENTUM.--,PERSON
Christi,PERSON
Diuini,PERSON
Tiberiani,PERSON
0392B,PERSON
Christum,PERSON
Christo,PERSON
0393A,PERSON
